Algorithm,Day,Keywords,Summary,Rater 1: completeness,Rater 1: grammaticality,Rater 2: completeness,Rater 2: grammaticality,Rater 3: completeness,Rater 3: grammaticality,Rater 4: completeness,Rater 4: grammaticality,Rater 5: completeness,Rater 5: grammaticality
TOWGS,11/06/13,"luke, bryan",luke bryan opening the cma s that,4,3,4,4,5,4,4,4,3,4
TOWGS,11/06/13,"performance, cmaaward",luke bryan s performance right now cmaawards,5,4,5,5,5,5,5,4,3,4
TOWGS,11/06/13,"blake, miranda",and i love miranda lambert is a,2,2,3,3,4,3,3,3,4,4
TOWGS,11/06/13,"taylor, cma, cmas, music, awards, country, swift",you think that this is the taylor swift,3,3,4,4,5,3,5,4,5,5
TOWGS,11/06/13,rangers,with what s going to the rangers,3,3,5,5,4,3,4,5,3,4
TOWGS,11/06/13,hayes,hunter hayes is performing yum cmas myhusband,4,4,2,3,5,5,5,4,3,4
TOWGS,11/06/13,tim,tim mcgraw is performing on the cmaawards,5,5,5,5,5,5,5,5,5,5
TOWGS,11/06/13,"carrie, underwood",carrie underwood is flawless ladies and gents,5,5,5,5,5,5,5,5,5,5
TOWGS,11/06/13,"horror, american",leave me alone to watch american horror,4,5,5,5,5,5,5,5,5,5
TOWGS,11/06/13,ahscoven,now that is the supreme ahs ahscoven,2,4,5,5,5,4,5,4,3,5
TOWGS,11/06/13,george,george strait winning entertainer of the most,4,3,4,3,5,4,4,4,3,4
TOWGS,11/07/13,"voted, vote, votes, artist",me and i get it right now,1,2,5,5,1,2,3,5,3,4
TOWGS,11/07/13,thor,regal union square stadium 14 regalmovies for thor,2,4,5,5,4,4,4,5,3,5
TOWGS,11/07/13,glee,holy crap adam lambert on glee gleeseason5,5,5,5,5,5,5,5,5,5,5
TOWGS,11/07/13,scandal,and this episode of scandal is on,3,5,5,5,3,5,5,5,5,5
TOWGS,11/07/13,"redskins, httr, vikes",go to the redskins win this season,3,3,4,4,5,4,4,4,4,5
TOWGS,11/07/13,"oregon, stanford",damn oregon is gonna win this shit,5,5,5,5,5,5,5,5,4,4
TOWGS,11/07/13,lakers,this rockets game is on the lakers,4,3,5,5,5,4,3,5,4,4
TOWGS,11/07/13,blake,wee ddiidd iittrt steve blake my nigga,4,4,5,5,5,5,2,2,3,3
TOWGS,11/08/13,"snow, snowing",i m so happy it s snowing,5,5,5,5,5,5,5,5,5,5
TOWGS,11/08/13,"emazing, bieber",xavonbieber emazing justin bieber emazing justin bieber,4,3,5,5,5,4,3,2,3,3
TOWGS,11/08/13,basketball,love the speed and intensity of college basketball,4,5,5,5,5,5,5,5,5,5
TOWGS,11/08/13,thor,amc loews methuen 20 amctheatres for thor,3,4,2,2,5,4,3,4,4,4
TOWGS,11/08/13,"maryland, uconn",i m at barclayscenter for connecticut huskies vs maryland terrapins,5,5,5,5,5,5,5,5,5,5
TOWGS,11/08/13,voteaustinmahone,i voteaustinmahone for the 2013 mtvema artist on the rise,5,5,5,5,5,5,5,4,5,4
TOWGS,11/09/13,"emazing, bieber, justin",vote vote vote vote emazing one direction,3,2,5,5,5,3,5,4,5,5
TOWGS,11/09/13,"alabama, lsu, bama",alabama about to watch lsu vs alabama,4,4,5,5,5,4,5,5,4,5
TOWGS,11/09/13,missuniverse2013,i m watching missuniverse2013 ryanneharms too bad,5,4,5,4,5,3,4,5,4,4
TOWGS,11/09/13,universe,the miss universe pageant with 6 kids,3,3,5,5,5,4,5,5,4,5
TOWGS,11/09/13,"celtics, green, jeff",wait jeff green game winner to beat,3,2,5,4,4,4,5,4,4,5
TOWGS,11/10/13,"veteranjob, hospital, starbucks, barista",i feel like i m at starbucks,1,5,5,5,1,5,5,5,4,5
TOWGS,11/10/13,"veteran, veterans",and i m at veterans day 10k,3,3,5,5,5,5,5,5,5,5
TOWGS,11/10/13,arsenal,united vs arsenal derbyday manutd lets goo boyss,5,4,5,4,5,5,5,4,5,4
TOWGS,11/10/13,"giants, raiders",of i m at the giants game,4,4,5,5,5,3,5,5,5,5
TOWGS,11/10/13,colts,the colts are takin an ass whipping,5,5,5,5,5,5,5,5,5,5
TOWGS,11/10/13,"voted, vote, votes, voteaustinmahone, austin",i m glad i have tavon austin,3,5,5,5,4,5,5,5,3,5
TOWGS,11/10/13,"packers, qb, eagles",great game between the eagles and amp,4,5,5,5,5,5,5,5,5,5
TOWGS,11/10/13,"ravens, bengals",shit like that s the ravens are,3,2,4,3,4,3,3,4,3,4
TOWGS,11/10/13,"exo, justin, emazing, direction, bieber",i see i love you justin tucker,2,3,5,5,5,4,5,5,3,4
TOWGS,11/10/13,"miley, emas, ema, cyrus",why was miley cyrus that s that,2,1,5,5,4,3,3,5,3,4
TOWGS,11/10/13,eminem,eminem is so much i love him,3,2,4,4,4,3,4,4,4,4
TOWGS,11/10/13,"governor, thewalkingdead",damn walking dead i like that thewalkingdead,4,2,5,5,5,4,5,5,4,5
TOWGS,11/10/13,"episode, dead",the walking dead is on a show,4,3,5,5,5,3,5,5,4,5
Baseline,11/04/13,freezing,in the freezing to freeze my ass off,4,3,5,5,5,3,4,5,4,4
Baseline,11/04/13,"safe, ccsu",i hope everyone at ccsu is safe to,4,3,5,5,5,4,3,5,4,4
Baseline,11/04/13,"richie, incognito",this incognito to martin in the richie is,1,1,3,3,3,1,3,3,3,4
Baseline,11/04/13,report,in playing for the report via android at,1,1,5,5,2,1,3,3,3,4
Baseline,11/04/13,vote,to vote in the voting for tomorrow is,3,2,5,4,4,2,4,3,3,4
Baseline,11/04/13,"shoot, gsp, mall, plaza",the garden state plaza mall shooting at gsp,5,4,5,5,5,5,5,5,4,4
Baseline,11/04/13,"packers, rodgers, bears",aaron rodgers is out for the bears packers,5,4,5,5,5,5,5,5,4,4
Baseline,11/04/13,"duty, release, midnight, ghost, code",to the midnight release for call of duty,5,4,5,5,5,5,5,4,4,4
Baseline,11/05/13,cold,i hate the cold in this is so,4,4,5,4,5,4,4,4,4,4
Baseline,11/05/13,"election, elections, christie",to vote for christie is the election day,3,3,5,5,5,4,4,3,5,5
Baseline,11/05/13,"duty, ghost, code",call of duty ghosts is the cod ghost,4,3,5,5,5,3,3,3,4,5
Baseline,11/05/13,"album, mmlp2, eminem",this album of the new eminem is a,4,3,5,3,5,3,4,3,4,5
Baseline,11/05/13,5th,remember remember the 5th of november the gunpowder treason and plot,5,5,5,5,5,5,5,5,4,4
Baseline,11/05/13,major,tv lawyer seeks on air role on major,5,5,5,5,3,4,5,5,3,4
Baseline,11/05/13,"mayor, crack",a new mayor of the crack me up,4,3,4,3,4,2,3,4,3,4
Baseline,11/05/13,bruins,seguin and the bruins to a game tonight,4,3,4,4,4,3,4,4,3,4
Baseline,11/05/13,knicks,to the the knicks @ madison square garden,5,4,5,5,5,4,4,5,4,4
Baseline,11/06/13,"election, mayor",in a new mayor of the election day,4,3,4,1,5,2,3,4,5,5
Baseline,11/06/13,"voted, vote, votes, artist",i'm voting for for amas favorite artist latin,3,2,5,4,4,2,4,3,5,5
Baseline,11/06/13,wcw,this is my wcw and i love you,1,2,5,5,2,2,4,5,4,5
Baseline,11/06/13,"sunset, sky",beautiful sunset nofilter @ the sky right now,4,4,5,5,5,4,4,4,4,5
Baseline,11/06/13,"luke, bryan",i love you luke bryan is the cmas,3,3,5,5,4,3,4,3,4,4
Baseline,11/06/13,"performance, cmaaward",that performance of the cmaawards and i love,3,3,5,4,4,3,4,4,4,4
Baseline,11/06/13,"blake, miranda",i love blake shelton and miranda lambert is,3,4,5,4,5,3,5,4,5,4
Baseline,11/06/13,"taylor, cma, cmas, music, awards, country, swift",i love taylor swift is the country music,3,3,5,4,5,3,4,4,5,4
Baseline,11/06/13,rangers,let's go rangers on the ranger game tonight,4,4,5,5,5,3,5,5,5,3
Baseline,11/06/13,hayes,i love hunter hayes is the hay que,3,3,5,5,3,2,4,3,4,3
Baseline,11/06/13,tim,i need to a tim mcgraw is on,3,2,1,1,4,2,5,5,4,3
Baseline,11/06/13,"carrie, underwood",can i be carrie underwood is so perfect,3,3,5,5,4,2,3,4,4,3
Baseline,11/06/13,"horror, american",i'm at the american horror story is on,3,3,5,4,4,3,5,4,4,4
Baseline,11/06/13,ahscoven,this episode of ahscoven is the next week,3,3,5,4,4,3,5,4,4,5
Baseline,11/06/13,george,alan jackson and george strait is the year,3,3,4,3,4,3,3,4,4,4
Baseline,11/07/13,"voted, vote, votes, artist",for amas favorite artist latin you can too here,2,1,2,2,5,3,4,3,3,4
Baseline,11/07/13,thor,i'm at for thor the dark world w/,5,5,4,4,5,3,4,3,3,5
Baseline,11/07/13,glee,this episode of the glee is on tonight,4,4,5,5,5,5,5,5,5,5
Baseline,11/07/13,scandal,in the scandal is going to be on,3,3,5,3,4,3,3,4,4,4
Baseline,11/07/13,"redskins, httr, vikes",is a redskins to the the vikings game,4,3,3,3,5,4,4,4,4,4
Baseline,11/07/13,"oregon, stanford",this is oregon and stanford to the game,4,4,4,4,5,4,5,4,4,5
Baseline,11/07/13,lakers,this is a lakers to the laker game,3,3,3,3,5,3,4,5,5,5
Baseline,11/07/13,blake,at for james blake griffin is the game,3,2,1,1,4,2,3,4,4,4
Baseline,11/08/13,"snow, snowing",and it's snowing in the snow is it,4,2,5,5,5,2,4,3,5,5
Baseline,11/08/13,"emazing, bieber",emabiggestfans justin bieber emazing justin bieber emazing justin bieber,4,3,5,5,5,4,3,2,4,4
Baseline,11/08/13,basketball,college basketball game of the season is back,4,4,5,5,5,5,5,5,4,4
Baseline,11/08/13,thor,for thor the dark world w/ 2 others,5,4,5,5,5,4,3,4,3,4
Baseline,11/08/13,"maryland, uconn",i'm at for the uconn vs maryland game,5,4,5,4,5,5,4,4,4,5
Baseline,11/08/13,voteaustinmahone,keep voting voteaustinmahone for the lead and vote,4,4,4,3,5,5,5,5,5,4
Baseline,11/09/13,"emazing, bieber, justin",timberlake and the justin bieber emazing one direction,4,3,5,4,5,4,5,4,5,4
Baseline,11/09/13,"alabama, lsu, bama",lsu to the alabama is a bama game,3,2,4,4,5,4,3,3,4,4
Baseline,11/09/13,missuniverse2013,watching missuniverse2013 is on in the top 16,5,3,5,5,5,3,5,5,5,4
Baseline,11/09/13,universe,i'm at university of the miss universe is,3,2,5,4,4,2,5,4,5,4
Baseline,11/09/13,"celtics, green, jeff",jeff green is the celtics beat the heat,3,2,5,5,5,3,3,4,4,4
Baseline,11/10/13,"veteranjob, hospital, starbucks, barista",barista us at starbucks veteranjob job jobs tweetmyjobs,3,2,5,5,3,1,4,4,3,5
Baseline,11/10/13,"veteran, veterans",we have school on veterans day to the,3,2,5,4,3,3,5,4,3,5
Baseline,11/10/13,arsenal,manchester united vs arsenal is the man u,4,3,5,4,5,4,5,4,4,5
Baseline,11/10/13,"giants, raiders",raiders game with the giants @ metlife stadium,5,5,5,5,5,5,5,5,5,5
Baseline,11/10/13,colts,what is the colts to the rams are,3,2,3,3,4,2,3,4,3,3
Baseline,11/10/13,"voted, vote, votes, voteaustinmahone, austin",vote for for amas favorite artist latin you,4,2,3,3,5,3,4,3,3,5
Baseline,11/10/13,"packers, qb, eagles",my eagles is a qb for the packers,3,3,4,4,4,3,4,4,4,5
Baseline,11/10/13,"ravens, bengals",@ m&t bank stadium for the bengals ravens game,5,5,5,5,5,5,4,5,3,5
Baseline,11/10/13,"exo, justin, emazing, direction, bieber",one direction emazing justin bieber is justin bieber”,4,3,5,5,5,3,4,4,4,5
Baseline,11/10/13,"miley, emas, ema, cyrus",i love miley cyrus is the mtv ema,3,2,5,5,4,3,4,4,5,5
Baseline,11/10/13,eminem,and i love you eminem is the best,3,3,5,4,5,4,4,5,5,5
Baseline,11/10/13,"governor, thewalkingdead",oh shit the fucking governor thewalkingdead is back,4,3,5,4,4,3,4,4,4,5
Baseline,11/10/13,"episode, dead",this episode of the walking dead is on,5,5,5,5,5,5,5,5,5,5
